P|Start|0|Prolog1SL|당신은 평범한 19살 청년입니다.^당신은 평소와 같이 자기전에 컴퓨터 게임을 하고 있었습니다.^그리고 평소와 같이 잠을 자기 위해서 침대에 누웠습니다.^그 때 당신은 왠지 모를 위화감이 들었습니다.^하지만 피곤한 당신은 금세 잠이 들었습니다.
R|HunterTalkF|0|NextSL|조심히 다가가서 말을 걸자 깜짝놀란 사냥꾼은 바로 활시위를 당깁니다.^다행히도 화살에 맞지는 않았지만 놀란 당신은 황급히 그 곳을 빠져나옵니다.
R|HunterBlitzS|0|NextSL|당신은 엉성한 궁술로 사냥꾼을 저격해서 맞추는데 성공합니다.^그리고 쓰러진 사냥꾼에게 다가가서 가지고 있던 물건을 다 챙겼습니다.^이게 맞는걸까요? 당신은 아무렇지도 않게 다음 목적지로 향합니다.
R|HunterBlitzS2|0|NextSL|당신은 능숙한 궁술로 사냥꾼을 저격해서 맞추는데 성공합니다.^그리고 쓰러진 사냥꾼에게 다가가서 가지고 있던 물건을 다 챙겼습니다.^이게 맞는걸까요? 당신은 아무렇지도 않게 다음 목적지로 향합니다.
R|HunterBlitzF|0|NextSL|당신은 엉성한 궁술로 사냥꾼을 저격해보지만 실패합니다.^당황한 당신은 황급히 도망가다가 사냥꾼이 쏜 화살을 한대 맞았습니다.
R|HunterBlitzF2|0|NextSL|당신은 빠르게 사냥꾼을 덮쳤습니다.^하지만 이 사냥꾼 호락호락한 상대가 아니였습니다.^당신은 되려 사냥꾼에게 두들겨 맞고 가지고있던 돈을 전부 털렸습니다.
R|HunterIg|0|NextSL|당신은 사냥꾼을 무시하기로 결정합니다.
R|InsideS|0|CabinInSL|당신은 조심히 오두막의 문을 두드려봅니다.^잠시후 문이 열리고 인자하게 생긴 할머니가 반갑게 맞이해주었습니다.^할머니는 당신과 같은 여행자를 도와주면서 살아왔다고 하면서 스프를 대접했습니다.^어떻게 할지 고민합니다.
R|SoupS|0|NextSL|당신은 할머니가 주신 스프를 맛있게 먹었습니다.^그리고 조금 쉬다가 다시 집을 나와 가던 길을 갑니다.
R|SoupS2|0|NextSL|당신은 할머니가 주신 스프를 맛있게 먹었습니다.^왠지는 모르겠지만 그런 당신을 할머니는 의아하게 쳐다봅니다.^아무튼 조금 쉬다가 다시 집을 나와 가던 길을 갑니다.
R|SoupF|0|NextSL|당신은 할머니가 주신 스프를 먹기 시작합니다.^하지만 이내 배가 아파오기 시작하고, 할머니는 고통스러워하느라 당신이 신경쓰지 못하는 사이에 가방에 있던 돈을 훔쳤습니다.^당신이 그 사실을 안 것은 집을 나서고 한참이 지났을 때였습니다.^잘못된 음식을 먹고나니 위장이 이에 적응한 것 같습니다.
R|SoupIg|0|NextSL|당신은 할머니가 주신 스프를 먹지 않기로 합니다.^스프를 거절하자 분위기가 좀 싸해졌습니다.^어색해진 당신은 다시 가던 길을 갑니다.
R|CabinBlitz|0|NextSL|당신은 틈을 봐서 할머니를 기습합니다.^그리고 할머니가 움직이지 못하게 묶어놓고 가방에 닥치는 대로 집에 있는 물건들을 집어넣었습니다.^이게 맞는걸까요? 당신은 물건들을 두둑히 챙겨 집을 나섭니다.
SmokeFast|CabinBurnS|2|NextSL|당신은 빠르게 연기가 나는 쪽으로 다가갔습니다.^연기가 나는 쪽에 가보니 오두막이 불타고 있었습니다.^빠르게 간 덕분에 주변에 흐르는 샘물로 어느정도 불을 끌수 있었습니다.^오두막에 뭐라도 있나 찾아보니꽤 괜찮은 물건들을 챙길 수 있었습니다.^당신은 계속 길을 갑니다.
SmokeFast|HunterRun|2|NextSL|당신은 빠르게 연기가 나는 쪽으로 다가갔습니다.^연기가 나는 쪽에 가보니 누군가 불을 피운 흔적이 있었습니다.^결국 당신은 아무것도 건지지 못하고 갈길을 갑니다.
SmokeFast|CabinFind|4|CabinSL|당신은 빠르게 다가가보기로 합니다.^빠르게 연기가 나는 쪽으로 가보니 오두막의 굴뚝에서 나는 연기였습니다.^안에 사람이 있는 것 같은데 문을 두드려 볼지 고민해봅니다.
GameOver|GameOver|0|GameOverSL|당신은 #일동안 이세계에서 지내다 죽었습니다.
Lucky|Lucky|0|NextSL|당신은 죽을 위기에 처했었지만 행운의 부적 덕분에 살아남았습니다.
Active|CaveEnter|10|CaveEnterSL|길을 가던 중 눈 앞에 동굴이 보이네요. 동굴에 들어가볼까요?
R|CaveS|0|NextSL|동굴을 탐사해보니 쓸만한 약초를 발견했어요!
R|CaveCombat|0|CaveCombatSL|동굴을 탐사하던 중 슬라임과 마주쳤는데.. 슬라임이 당신한테 돌진하네요?!
R|CaveIg|0|NextSL|결국 동굴을 지나치기로 결심했어요..
R|CaveCombatVic|0|CaveCombatVicSL|슬라임과의 전투에서 승리했다! 전리품을 조금 받았다.
R|CaveCombatDefeat|0|CaveCombatDefeatSL|슬라임과의 전투에서 패배했다.. HP가 1 닳았다...
R|CaveCombatDraw|0|NextSL|슬라임과의 긴 전투끝에 결국 결과를 내지못했네요. 아쉽지만 다음을 기약합니다.
